DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.910814985,0.884271084,0.424239463,0.482979737,0.369965736,0.077759993,0.577387161,0.493073919
0.657279973,0.644029782,0.39148246,0.143655056,0.535590791,0.214609161,0.392434072,0.11246131
0.345760244,0.55513016,0.499304864,0.556701409,0.574779779,0.701192163,0.736890686,0.49653457
0.5728206,0.259982519,0.382044501,0.531314449,0.642099878,0.722474304,0.928216873,0.525111424
0.577124431,0.703230894,0.533966233,0.719356586,0.706507286,0.133275621,0.579108969,0.577481932
0.363165896,0.487396418,0.297217192,0.042077681,0.110740376,0.172514162,0.461752384,0.122428486
0.508627193,0.51732457,0.859782825,0.90346717,0.948293598,0.959104604,0.369076735,0.921246809
0.421823539,0.048277131,0.534249702,0.914055924,0.058273984,0.613725806,0.048169825,0.896531292
0.327606633,0.489898976,0.366866206,0.183965585,0.879694466,0.071862827,0.246491565,0.055667645
0.731954646,0.716311766,0.918823576,0.661633853,0.88670531,0.561856128,0.440868101,0.653356153
0.395581941,0.491428693,0.520232869,0.408034346,0.689397992,0.249720654,0.063221191,0.571396025
0.588130079,0.056036678,0.115860304,0.074478641,0.039062242,0.232826435,0.652252664,0.060975963
0.149562752,0.061880558,0.045007723,0.064118199,0.06203657,0.071426533,0.049074057,0.04858477
0.372283142,0.099511301,0.41176073,0.502103656,0.532204667,0.90191797,0.769906355,0.914858519
0.761015233,0.937784732,0.750798047,0.935788308,0.525538727,0.685342937,0.925182235,0.946697378
0.372328887,0.093563168,0.29863949,0.1372558,0.370327534,0.50218721,0.71684252,0.03957239
0.782562949,0.880920968,0.35509056,0.893616673,0.489901111,0.935071568,0.352077172,0.881598331
0.479887955,0.423725423,0.380810599,0.361833247,0.120436857,0.045461805,0.506724387,0.052008808
0.140434748,0.050525737,0.362209293,0.078433679,0.053239328,0.098329956,0.753936131,0.05610435
0.637505785,0.514037247,0.603034898,0.440366654,0.770894371,0.448215633,0.527176355,0.832125699
