Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	313243	314284	3	2	0	1	308	11.297130	0.000000	362.972321	1024
0	317349	317436	3	2	0	1	310	11.297130	0.000000	366.468048	1024
0	314284	317349	3	2	0	1	309	11.297130	0.000000	366.378021	1024
0	317436	320923	3	2	0	1	311	11.297130	0.000000	370.289490	1024
0	320923	320973	3	2	0	1	312	11.297130	0.000000	370.341400	1024
0	320973	322818	3	2	0	1	313	11.297130	0.000000	372.349487	1024
0	322818	325594	3	2	0	1	314	11.297130	0.000000	375.480988	1024
0	325594	326130	3	2	0	1	315	11.297130	0.000000	376.054565	1024
0	326315	326544	3	2	0	1	318	11.297130	0.000000	376.497559	1024
0	326137	326315	3	2	0	1	317	11.297130	0.000000	376.255585	1024
0	326130	326137	3	2	0	1	316	11.297130	0.000000	376.063385	1024
0	326544	326847	3	2	0	1	319	11.297130	0.000000	376.781372	1024
0	326847	328505	3	2	0	1	320	11.297130	0.000000	378.562775	1024
0	328505	330846	3	2	0	1	321	11.297130	0.000000	381.164307	1024
0	330846	333260	3	2	0	1	322	11.297130	0.000000	383.779877	1024
0	333260	334219	3	2	0	1	323	11.297130	0.000000	384.769501	1024
0	334219	334657	3	2	0	1	324	11.297130	0.000000	385.240417	1024
0	334657	335620	3	2	0	1	325	11.297130	0.000000	386.300537	1024
0	335620	337100	3	2	0	1	326	11.297130	0.000000	387.954742	1024
0	337100	337565	3	2	0	1	327	11.297130	0.000000	388.398438	1024
0	337565	338163	3	2	0	1	328	11.297130	0.000000	389.060730	1024
0	338163	338679	3	2	0	1	329	11.297130	0.000000	389.623962	1024
0	338679	341079	3	2	0	1	330	11.297130	0.000000	392.271484	1024
0	341079	341512	3	2	0	1	331	11.297130	0.000000	392.750061	1024
0	341512	342876	3	2	0	1	332	11.297130	0.000000	394.269562	1024
0	342876	346161	3	2	0	1	334	11.297130	0.000000	397.803589	1024
0	346161	347800	3	2	0	1	335	11.297130	0.000000	399.637024	1024
0	347800	348390	3	2	0	1	336	11.297130	0.000000	400.285034	1024
0	348390	351454	3	2	0	1	337	11.297130	0.000000	403.704285	1024
0	351454	351875	3	2	0	1	339	11.297130	0.000000	404.193085	1024
0	351875	352244	3	2	0	1	340	11.297130	0.000000	404.578552	1024
0	352244	352987	3	2	0	1	341	11.297130	0.000000	405.393982	1024
0	352987	355369	3	2	0	1	342	11.297130	0.000000	407.972107	1024
0	355369	356199	3	2	0	1	343	11.297130	0.000000	408.876923	1024
0	356199	358417	3	2	0	1	344	11.297130	0.000000	411.292450	1024
0	358417	359820	3	2	0	1	345	11.297130	0.000000	412.820740	1024
0	359820	361204	3	2	0	1	346	11.297130	0.000000	414.324677	1024
0	361204	361356	3	2	0	1	347	11.297130	0.000000	414.468140	1024
0	361356	362535	3	2	0	1	348	11.297130	0.000000	415.793152	1024
0	362535	364203	3	2	0	1	349	11.297130	0.000000	417.606659	1024
0	366659	366917	3	2	0	1	353	11.297130	0.000000	420.593811	1024
0	364203	366030	3	2	0	1	350	11.297130	0.000000	419.614014	1024
0	366030	366251	3	2	0	1	351	11.297130	0.000000	419.847107	1024
0	366251	366659	3	2	0	1	352	11.297130	0.000000	420.309082	1024
0	367815	368078	3	2	0	1	355	11.297130	0.000000	421.951630	1024
0	366917	367815	3	2	0	1	354	11.297130	0.000000	421.640930	1024
0	368078	368425	3	2	0	1	356	11.297130	0.000000	422.314667	1024
0	368425	368654	3	2	0	1	357	11.297130	0.000000	422.591949	1024
0	368654	369585	3	2	0	1	358	11.297130	0.000000	423.613281	1024
0	372265	373278	3	2	0	1	362	11.297130	0.000000	427.588989	1024
0	369585	371261	3	2	0	1	359	11.297130	0.000000	425.403168	1024
0	372240	372265	3	2	0	1	361	11.297130	0.000000	426.531586	1024
0	371261	372240	3	2	0	1	360	11.297130	0.000000	426.485779	1024
0	373278	373572	3	2	0	1	363	11.297130	0.000000	427.927032	1024
0	373572	374052	3	2	0	1	364	11.297130	0.000000	428.467255	1024
0	375030	375572	3	2	0	1	366	11.297130	0.000000	430.027344	1024
0	374052	375030	3	2	0	1	365	11.297130	0.000000	429.473633	1024
0	375572	381590	3	2	0	1	367	11.297130	0.000000	436.573944	1024
0	383618	383656	3	2	0	1	369	11.297130	0.000000	438.848999	1024
0	381590	383618	3	2	0	1	368	11.297130	0.000000	438.806396	1024
0	383656	384121	3	2	0	1	370	11.297130	0.000000	439.354034	1024
0	384121	384441	3	2	0	1	371	11.297130	0.000000	439.688354	1024
0	384441	386321	3	2	0	1	372	11.297130	0.000000	441.749176	1024
